movieId,tconst,tmdbId,averageRating,numVotes
1,tt0114709,862.0,8.3,874529.0
2,tt0113497,8844.0,7.0,303046.0
3,tt0113228,15602.0,6.7,23930.0
4,tt0114885,31357.0,5.9,9433.0
5,tt0113041,11862.0,6.1,34059.0
6,tt0113277,949.0,8.2,568664.0
7,tt0114319,11860.0,6.3,36337.0
8,tt0112302,45325.0,5.5,9805.0
9,tt0114576,9091.0,5.8,31915.0
10,tt0113189,710.0,7.2,236443.0
11,tt0112346,9087.0,6.8,51603.0
12,tt0112896,12110.0,5.9,38634.0
13,tt0112453,21032.0,7.1,39283.0
14,tt0113987,10858.0,7.1,28532.0
15,tt0112760,1408.0,5.7,25771.0
16,tt0112641,524.0,8.2,459107.0
17,tt0114388,4584.0,7.6,100889.0
18,tt0113101,5.0,6.8,97325.0
19,tt0112281,9273.0,6.4,200676.0
20,tt0113845,11517.0,5.7,38529.0
21,tt0113161,8012.0,6.9,75037.0
22,tt0112722,1710.0,6.6,53434.0
23,tt0112401,9691.0,6.4,76942.0
24,tt0114168,12665.0,6.6,28270.0
25,tt0113627,451.0,7.5,113495.0
26,tt0114057,16420.0,6.8,8956.0
27,tt0114011,9263.0,6.8,26815.0
28,tt0114117,17015.0,7.7,9920.0
29,tt0112682,902.0,7.5,64325.0
30,tt0115012,37557.0,7.1,5131.0
31,tt0112792,9909.0,6.6,48022.0
32,tt0114746,63.0,8.0,572590.0
33,tt0114952,78802.0,6.4,609.0
34,tt0112431,9598.0,6.8,115840.0
35,tt0112637,47018.0,6.8,5060.0
36,tt0112818,687.0,7.5,87699.0
37,tt0112286,139405.0,6.0,235.0
38,tt0113442,33689.0,5.9,20549.0
39,tt0112697,9603.0,6.8,181308.0
40,tt0112749,34615.0,6.8,1671.0
41,tt0114279,31174.0,7.4,13627.0
42,tt0112819,11443.0,6.9,19529.0
43,tt0114272,35196.0,6.6,8829.0
44,tt0113855,9312.0,5.8,100914.0
45,tt0114681,577.0,6.8,43209.0
46,tt0113347,11861.0,6.3,10603.0
47,tt0114369,807.0,8.6,1421125.0
48,tt0114148,10530.0,6.7,168264.0
49,tt0114916,8391.0,6.5,6533.0
50,tt0114814,629.0,8.5,978925.0
51,tt0109950,117164.0,5.0,339.0
52,tt0113819,11448.0,7.0,37679.0
53,tt0110299,49133.0,7.5,2046.0
54,tt0112499,26441.0,5.6,9210.0
55,tt0113158,97406.0,6.6,2787.0
56,tt0113541,124057.0,4.9,303.0
57,tt0113321,9089.0,6.6,11656.0
58,tt0110877,11010.0,7.7,33192.0
59,tt0112714,99040.0,7.5,1519.0
60,tt0113419,11359.0,6.0,25946.0
61,tt0116260,17182.0,6.2,13330.0
62,tt0113862,2054.0,7.3,35299.0
63,tt0116126,10607.0,6.6,47772.0
64,tt0118002,19760.0,5.3,5359.0
65,tt0115683,9536.0,4.5,25833.0
66,tt0116839,11525.0,2.5,8883.0
67,tt0114753,40628.0,6.2,3225.0
68,tt0113149,4482.0,6.4,4583.0
69,tt0113118,10634.0,7.3,98754.0
70,tt0116367,755.0,7.2,283824.0
71,tt0113010,11859.0,4.3,12048.0
72,tt0113537,28387.0,6.8,11590.0
73,tt0113828,48750.0,7.4,3564.0
74,tt0115644,20927.0,6.1,7808.0
75,tt0115676,36929.0,4.7,4504.0
76,tt0114367,9102.0,6.4,24899.0
77,tt0113973,124626.0,7.2,665.0
78,tt0112744,27526.0,6.3,12638.0
79,tt0116731,9623.0,5.7,17027.0
80,tt0112445,46785.0,7.7,6609.0
81,tt0114660,400.0,6.8,25898.0
82,tt0112379,880.0,7.4,8176.0
83,tt0114039,146599.0,7.1,468.0
84,tt0113612,188588.0,5.6,375.0
85,tt0112365,8447.0,6.8,4394.0
86,tt0118158,10534.0,6.6,20971.0
87,tt0116151,17414.0,5.4,11810.0
88,tt0115697,13997.0,6.3,36232.0
89,tt0113972,2086.0,6.3,38719.0
90,tt0113490,61548.0,6.5,908.0
92,tt0117002,9095.0,5.8,13942.0
